cod_local;s_nombre_sala.x2018;s_nombre_sala.y2019
141;NA;OKM - CLUB HIPICO
149;NA;OKM - PRAT
637;NA;OKM - LAS CONDES, SAN DAMIAN
191;NA;nan
202;NA;nan
194;NA;nan
122;NA;OKM - VITACURA, LUIS CARRERA 1330
931;NA;UNIM - SAN BERNARDO, CAMINO NOS
136;NA;OKM - SANTIAGO, SAN FRANCISCO 335
109;NA;UNIM - TOCOPILLA, 21 DE MAYO
193;NA;nan
206;NA;nan
